year,quarter,year-quarter,gdp,cpi,unemployment_rate,gdp_growth,cpi_growth,unemployment_change,gdp_yoy,cpi_yoy,unemployment_yoy_change,gdp_rolling_mean_4q,cpi_rolling_mean_4q,unemployment_rolling_mean_4q,gdp_volatility_4q,cpi_volatility_4q,unemployment_volatility_4q,gdp_growth_lag1,gdp_growth_lag2,cpi_growth_lag1,unemployment_change_lag1,covid_flag,recession_flag,high_growth_flag
1980,4,1980Q4,2985.557,85.56666666666666,7.3999999999999995,0.04518633578424924,0.028033640368442025,-0.2666666666666675,0.09606653442897506,0.12538360368259505,1.4333333333333336,0.02330787826474584,0.029999726635945856,7.174999999999999,0.017408959102648988,0.008821304292050147,0.5315072906367326,0.021138204988146114,0.0026919087174110956,0.018767849857201035,0.3333333333333339,False,False,True
1981,1,1981Q1,3124.206,87.93333333333334,7.433333333333334,0.04643991054265606,0.027658745617452407,0.0333333333333341,0.1198505148320228,0.11261071277941803,1.1333333333333337,0.028864090008115628,0.027050318344999935,7.458333333333334,0.020976157476956057,0.006183367839183569,0.5567764362830022,0.04518633578424924,0.021138204988146114,0.028033640368442025,-0.2666666666666675,False,False,True
1981,2,1981Q2,3162.532,89.76666666666667,7.3999999999999995,0.012267436910370133,0.020849128127369054,-0.0333333333333341,0.13054488673574172,0.09873521011831898,0.06666666666666643,0.03125797205635539,0.02382734099261613,7.475,0.017200200415344397,0.00472019838066005,0.24720661623652251,0.04643991054265606,0.04518633578424924,0.027658745617452407,0.0333333333333341,False,False,False
1981,3,1981Q3,3260.609,92.26666666666667,7.3999999999999995,0.03101217631948061,0.027849981433345716,0.0,0.14147677406096926,0.1085302362835403,-0.2666666666666675,0.03372646488918901,0.0260978738866523,7.408333333333333,0.01592500743642411,0.0035025098302410417,0.13608276348795445,0.012267436910370133,0.04643991054265606,0.020849128127369054,-0.0333333333333341,False,False,True
1981,4,1981Q4,3280.818,93.76666666666667,8.233333333333334,0.006197921921947902,0.016257225433526035,0.8333333333333348,0.09889645382754386,0.0958317101675108,0.8333333333333348,0.023979361423613677,0.023153770152923303,7.616666666666667,0.01832380526931891,0.005633912443378731,0.41755460942474626,0.03101217631948061,0.012267436910370133,0.027849981433345716,0.0,False,False,False
1982,1,1982Q1,3274.302,94.60000000000001,8.833333333333334,-0.0019860900543705595,0.008887308922858272,0.5999999999999996,0.04804292674682786,0.07581501137225177,1.4000000000000004,0.011872861274357022,0.01846091097927477,7.966666666666667,0.014032635044953732,0.007965933957737866,0.43418719294622105,0.006197921921947902,0.03101217631948061,0.016257225433526035,0.8333333333333348,False,True,False
1982,2,1982Q2,3331.972,95.96666666666665,9.433333333333334,0.017612914141700964,0.014446793516560641,0.5999999999999996,0.05357732348637101,0.06906795395469723,2.033333333333334,0.01320923058218973,0.016860327326572666,8.475,0.01433403320997839,0.00796932446317231,0.356292638773866,-0.0019860900543705595,0.006197921921947902,0.008887308922858272,0.5999999999999996,False,False,False
1982,3,1982Q3,3366.322,97.63333333333333,9.9,0.01030921028147902,0.017367141368530792,0.4666666666666668,0.032421244006871186,0.05816473988439297,2.500000000000001,0.008033489072689332,0.014239617310368935,9.100000000000001,0.00817935540087031,0.003765734825521652,0.15244914148902514,0.017612914141700964,-0.0019860900543705595,0.014446793516560641,0.5999999999999996,False,False,False
1982,4,1982Q4,3402.561,97.93333333333334,10.666666666666666,0.010765161502672704,0.003072721065210171,0.7666666666666657,0.03710751404070578,0.04443654461429092,2.433333333333332,0.009175298967870532,0.010943491218289969,9.708333333333334,0.008156457001953613,0.0063169960339921095,0.12285191326386553,0.01030921028147902,0.017612914141700964,0.017367141368530792,0.4666666666666668,False,False,False
1983,1,1983Q1,3473.413,98.0,10.366666666666667,0.020823138806328467,0.000680735194009463,-0.29999999999999893,0.06081021237503448,0.03594080338266381,1.5333333333333332,0.014877606183045289,0.008891847786077767,10.091666666666667,0.005183747362857036,0.008245658032575232,0.47179719434582446,0.010765161502672704,0.01030921028147902,0.003072721065210171,0.7666666666666657,False,False,True
